ID,Source,Target,Weight
1,001,002,17.36666666666667
2,001,003,23.283333333333335
3,001,004,22.26666666666667
4,001,005,8.033333333333333
5,001,006,4.616666666666666
6,001,007,4.566666666666666
7,001,008,16.650000000000002
8,001,009,5.266666666666666
9,001,010,1.9166666666666667
10,001,011,1.6333333333333333
11,001,012,8.016666666666667
12,001,013,4.483333333333333
13,001,015,3.6
14,001,016,1.0
15,001,017,0.55
16,001,018,0.15
17,001,019,1.9333333333333333
18,001,020,2.1333333333333333
19,001,021,1.9333333333333333
20,001,022,1.0
21,001,023,1.3666666666666667
22,001,024,1.3666666666666667
23,001,025,0.26666666666666666
24,001,026,1.1333333333333333
25,001,027,1.1333333333333333
26,001,028,1.1333333333333333
27,001,029,2.0
28,001,030,0.8
29,001,031,0.8
30,001,032,0.8
31,001,033,0.8
32,001,034,0.16666666666666666
33,001,035,1.4833333333333334
34,001,036,1.4833333333333334
35,001,037,1.4833333333333334
36,001,038,1.6666666666666665
37,001,039,5.966666666666667
38,001,041,0.8333333333333334
39,001,042,4.7
40,001,043,1.4333333333333333
41,001,044,1.4333333333333333
42,001,045,3.5666666666666664
43,001,046,2.0
44,001,047,0.8333333333333334
45,001,048,0.55
46,001,049,0.3
47,001,051,0.55
48,001,052,0.55
49,001,053,0.9666666666666667
50,001,054,0.9666666666666667
51,001,055,0.9666666666666667
52,001,056,0.6
53,001,057,0.6
54,001,058,1.8333333333333335
55,001,059,1.8333333333333335
56,001,060,1.8333333333333335
57,001,061,1.8333333333333335
58,001,062,1.4
59,001,064,0.5
60,001,065,0.25
61,001,066,0.25
62,001,067,0.15
63,001,068,0.15
64,001,069,0.15
65,001,070,0.15
66,001,071,0.23333333333333334
67,001,073,0.6666666666666666
68,001,074,0.1
69,001,075,0.8166666666666667
70,001,076,1.7833333333333332
71,001,077,1.7833333333333332
72,001,078,1.7833333333333332
73,001,079,1.7833333333333332
74,001,080,1.0
75,001,081,1.0
76,001,082,1.0
77,001,083,0.5
78,001,084,0.25
79,001,086,3.6666666666666665
80,001,087,3.0833333333333335
81,001,088,1.6666666666666665
82,001,089,2.4166666666666665
83,001,090,0.08333333333333333
84,001,091,3.1166666666666667
85,001,092,2.9833333333333334
86,001,093,1.0
87,001,094,0.7666666666666667
88,001,095,1.5166666666666666
89,001,103,1.0
90,001,104,1.0
91,001,105,1.0
92,001,106,1.0
93,001,107,1.0
94,001,108,1.0
95,001,109,0.21666666666666667
96,001,110,1.3166666666666667
97,001,111,1.3166666666666667
98,001,112,1.3166666666666667
99,001,113,1.3166666666666667
100,001,114,1.3166666666666667
101,002,003,3.1333333333333333
102,002,004,3.783333333333333
103,002,007,1.3166666666666667
104,002,011,1.1833333333333333
105,002,013,2.3499999999999996
106,002,015,3.066666666666667
107,002,020,0.2
108,002,022,1.0
109,002,023,1.1833333333333333
110,002,024,1.1833333333333333
111,002,026,1.1333333333333333
112,002,027,1.1333333333333333
113,002,028,1.1333333333333333
114,002,029,1.0
115,002,030,0.8
116,002,031,0.8
117,002,032,0.8
118,002,033,0.8
119,002,034,0.16666666666666666
120,002,035,0.16666666666666666
121,002,036,0.16666666666666666
122,002,037,0.16666666666666666
123,002,058,1.8333333333333335
124,002,059,1.8333333333333335
125,002,060,1.8333333333333335
126,002,061,1.8333333333333335
127,002,086,3.1333333333333333
128,002,087,2.55
129,002,088,1.1333333333333333
130,002,089,1.8833333333333333
131,002,090,0.08333333333333333
132,002,091,2.4666666666666663
133,002,092,2.333333333333333
134,002,093,1.0
135,002,094,0.7666666666666667
136,002,095,1.5166666666666666
137,002,110,1.3166666666666667
138,002,111,1.3166666666666667
139,002,112,1.3166666666666667
140,002,113,1.3166666666666667
141,002,114,1.3166666666666667
142,003,004,11.399999999999999
143,003,005,1.1166666666666667
144,003,006,0.21666666666666667
145,003,007,0.5166666666666667
146,003,010,3.933333333333333
147,003,013,1.5166666666666666
148,003,038,1.2833333333333332
149,003,058,1.8333333333333335
150,003,059,1.8333333333333335
151,003,060,1.8333333333333335
152,003,061,1.8333333333333335
153,003,063,0.45
154,003,098,1.8333333333333333
155,003,099,1.6833333333333333
156,003,100,1.6833333333333333
157,003,101,1.8333333333333333
158,003,102,1.8333333333333333
159,004,007,0.8166666666666667
160,004,009,2.45
161,004,010,0.25
162,004,013,0.6333333333333333
