ID,Distance,Path
002 085,3,"['002', '001', '009', '085']"
002 086,1,"['002', '086']"
002 087,1,"['002', '087']"
002 088,1,"['002', '088']"
002 089,1,"['002', '089']"
002 090,1,"['002', '090']"
002 091,1,"['002', '091']"
002 092,1,"['002', '092']"
002 093,1,"['002', '093']"
002 094,1,"['002', '094']"
002 095,1,"['002', '095']"
002 096,2,"['002', '004', '096']"
002 097,2,"['002', '004', '097']"
002 098,2,"['002', '003', '098']"
002 099,2,"['002', '003', '099']"
002 100,2,"['002', '003', '100']"
002 101,2,"['002', '003', '101']"
002 102,2,"['002', '003', '102']"
002 103,2,"['002', '001', '103']"
002 104,2,"['002', '001', '104']"
002 105,2,"['002', '001', '105']"
002 106,2,"['002', '001', '106']"
002 107,2,"['002', '001', '107']"
002 108,2,"['002', '001', '108']"
002 109,2,"['002', '001', '109']"
002 110,1,"['002', '110']"
002 111,1,"['002', '111']"
002 112,1,"['002', '112']"
002 113,1,"['002', '113']"
002 114,1,"['002', '114']"
003 001,1,"['003', '001']"
003 002,1,"['003', '002']"
003 003,0,['003']
003 004,1,"['003', '004']"
003 005,1,"['003', '005']"
003 006,1,"['003', '006']"
003 007,1,"['003', '007']"
003 008,2,"['003', '001', '008']"
003 009,2,"['003', '001', '009']"
003 010,1,"['003', '010']"
003 011,2,"['003', '001', '011']"
003 012,2,"['003', '001', '012']"
003 013,1,"['003', '013']"
003 014,2,"['003', '004', '014']"
003 015,2,"['003', '001', '015']"
003 016,2,"['003', '001', '016']"
003 017,2,"['003', '001', '017']"
003 018,2,"['003', '001', '018']"
003 019,2,"['003', '001', '019']"
003 020,2,"['003', '001', '020']"
003 021,2,"['003', '001', '021']"
003 022,2,"['003', '001', '022']"
003 023,2,"['003', '001', '023']"
003 024,2,"['003', '001', '024']"
003 025,2,"['003', '001', '025']"
003 026,2,"['003', '001', '026']"
003 027,2,"['003', '001', '027']"
003 028,2,"['003', '001', '028']"
003 029,2,"['003', '001', '029']"
003 030,2,"['003', '001', '030']"
003 031,2,"['003', '001', '031']"
003 032,2,"['003', '001', '032']"
003 033,2,"['003', '001', '033']"
003 034,2,"['003', '001', '034']"
003 035,2,"['003', '001', '035']"
003 036,2,"['003', '001', '036']"
003 037,2,"['003', '001', '037']"
003 038,1,"['003', '038']"
003 039,2,"['003', '001', '039']"
003 040,2,"['003', '004', '040']"
003 041,2,"['003', '001', '041']"
003 042,2,"['003', '001', '042']"
003 043,2,"['003', '001', '043']"
003 044,2,"['003', '001', '044']"
003 045,2,"['003', '001', '045']"
003 046,2,"['003', '001', '046']"
003 047,2,"['003', '001', '047']"
003 048,2,"['003', '001', '048']"
003 049,2,"['003', '001', '049']"
003 050,3,"['003', '001', '009', '050']"
003 051,2,"['003', '001', '051']"
003 052,2,"['003', '001', '052']"
003 053,2,"['003', '001', '053']"
003 054,2,"['003', '001', '054']"
003 055,2,"['003', '001', '055']"
003 056,2,"['003', '001', '056']"
003 057,2,"['003', '001', '057']"
003 058,1,"['003', '058']"
003 059,1,"['003', '059']"
003 060,1,"['003', '060']"
003 061,1,"['003', '061']"
003 062,2,"['003', '001', '062']"
003 063,1,"['003', '063']"
003 064,2,"['003', '001', '064']"
003 065,2,"['003', '001', '065']"
003 066,2,"['003', '001', '066']"
003 067,2,"['003', '001', '067']"
003 068,2,"['003', '001', '068']"
003 069,2,"['003', '001', '069']"
003 070,2,"['003', '001', '070']"
003 071,2,"['003', '001', '071']"
003 072,2,"['003', '004', '072']"
003 073,2,"['003', '001', '073']"
003 074,2,"['003', '001', '074']"
003 075,2,"['003', '001', '075']"
003 076,2,"['003', '001', '076']"
003 077,2,"['003', '001', '077']"
003 078,2,"['003', '001', '078']"
003 079,2,"['003', '001', '079']"
003 080,2,"['003', '001', '080']"
003 081,2,"['003', '001', '081']"
003 082,2,"['003', '001', '082']"
003 083,2,"['003', '001', '083']"
003 084,2,"['003', '001', '084']"
003 085,3,"['003', '001', '009', '085']"
003 086,2,"['003', '001', '086']"
003 087,2,"['003', '001', '087']"
003 088,2,"['003', '001', '088']"
003 089,2,"['003', '001', '089']"
003 090,2,"['003', '001', '090']"
003 091,2,"['003', '001', '091']"
003 092,2,"['003', '001', '092']"
003 093,2,"['003', '001', '093']"
003 094,2,"['003', '001', '094']"
003 095,2,"['003', '001', '095']"
003 096,2,"['003', '004', '096']"
003 097,2,"['003', '004', '097']"
003 098,1,"['003', '098']"
003 099,1,"['003', '099']"
003 100,1,"['003', '100']"
